Model Accuracy: 0.7225183107371045
+-----+----------+--------------------+
|label|prediction|         probability|
+-----+----------+--------------------+
|    1|       0.0|[0.53967798642903...|
|    1|       0.0|[0.53879911606528...|
|    0|       0.0|[0.54949753127211...|
|    0|       0.0|[0.54031999227080...|
|    1|       0.0|[0.54543889976724...|
|    1|       0.0|[0.53259163599952...|
|    1|       0.0|[0.53905252549888...|
|    1|       0.0|[0.55350280431289...|
|    0|       0.0|[0.53718569014744...|
|    0|       0.0|[0.53042922464814...|
|    0|       0.0|[0.54799554880632...|
|    1|       0.0|[0.53637871658131...|
|    0|       0.0|[0.53657703813660...|
|    0|       0.0|[0.54454668868132...|
|    1|       0.0|[0.53534528042862...|
|    1|       0.0|[0.53903473857355...|
|    1|       0.0|[0.54996262228099...|
|    1|       0.0|[0.54003009380991...|
|    1|       0.0|[0.54067001049643...|
|    0|       0.0|[0.54890402253983...|
|    0|       0.0|[0.52454163610921...|
|    1|       0.0|[0.53701399607611...|
|    0|       0.0|[0.53576180472941...|
|    0|       0.0|[0.52861125951982...|
|    1|       0.0|[0.53884140261387...|
|    0|       0.0|[0.51741497389689...|
|    1|       0.0|[0.51682160534909...|
|    0|       0.0|[0.53544174711381...|
|    1|       0.0|[0.52042392235074...|
|    1|       0.0|[0.53078469952651...|
|    1|       0.0|[0.52080423118494...|
|    1|       0.0|[0.52819907121864...|
|    1|       0.0|[0.51592821067325...|
|    1|       0.0|[0.51421259721523...|
|    0|       0.0|[0.51174491941136...|
|    1|       0.0|[0.52915769692254...|
|    1|       0.0|[0.51750923569416...|
|    1|       0.0|[0.51169869530852...|
|    0|       0.0|[0.51548585331742...|
|    1|       0.0|[0.52616793931934...|
|    0|       0.0|[0.51573112098779...|
|    0|       0.0|[0.52714162296719...|
|    1|       0.0|[0.50827400817585...|
|    0|       0.0|[0.51117908499706...|
|    0|       0.0|[0.52633675450203...|
|    0|       0.0|[0.52600573499087...|
|    1|       0.0|[0.50234108341894...|
|    1|       0.0|[0.5206981782338,...|
|    1|       0.0|[0.50278656431079...|
|    1|       0.0|[0.50799425745777...|
|    0|       0.0|[0.52222421244192...|
|    0|       0.0|[0.51035812420501...|
|    0|       0.0|[0.51948087275521...|
|    1|       0.0|[0.50692627251932...|
|    0|       1.0|[0.49788606881366...|
|    1|       0.0|[0.52281983681726...|
|    1|       1.0|[0.49533727139622...|
|    0|       1.0|[0.49114805760994...|
|    1|       0.0|[0.51431617750606...|
|    1|       0.0|[0.51086671727207...|
|    0|       0.0|[0.51107747641307...|
|    0|       1.0|[0.48970480375388...|
|    1|       0.0|[0.50741496237653...|
|    1|       1.0|[0.49752415299108...|
|    1|       0.0|[0.50853906421821...|
|    0|       0.0|[0.50232970489479...|
|    0|       0.0|[0.51201067620983...|
|    0|       1.0|[0.48425350352893...|
|    0|       1.0|[0.48772434162171...|
|    0|       0.0|[0.50756602931116...|
|    1|       1.0|[0.49167719634351...|
|    1|       1.0|[0.49753829328463...|
|    1|       0.0|[0.50629518781286...|
|    1|       0.0|[0.50913410786872...|
|    0|       0.0|[0.50919836722613...|
|    1|       1.0|[0.49969577531567...|
|    1|       1.0|[0.49837066448265...|
|    0|       1.0|[0.49126932916164...|
|    1|       1.0|[0.49340692710332...|
|    0|       1.0|[0.49907071670764...|
|    1|       1.0|[0.49108011807057...|
|    0|       1.0|[0.48797457893198...|
|    1|       1.0|[0.49153761525960...|
|    1|       1.0|[0.49744047709315...|
|    1|       1.0|[0.47924407504295...|
|    1|       1.0|[0.48842053944399...|
|    0|       0.0|[0.50286675640399...|
|    0|       1.0|[0.49723689063798...|
|    0|       1.0|[0.47975809291643...|
|    0|       1.0|[0.48541014787786...|
|    0|       1.0|[0.48431895755673...|
|    1|       1.0|[0.49994433627956...|
|    0|       0.0|[0.50096315892921...|
|    0|       1.0|[0.48887871002049...|
|    1|       1.0|[0.47640528598894...|
|    1|       1.0|[0.48938059617313...|
|    1|       1.0|[0.49312637918417...|
|    1|       1.0|[0.49572720126397...|
|    0|       1.0|[0.47542665610668...|
|    1|       1.0|[0.49693015097512...|
+-----+----------+--------------------+
only showing top 100 rows

